     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y40 |   1.80 |  -7.40 |   1.40 | -27.30 |  -1.20 |  -0.20 | -13.90 | -17.40 | -24.70 |  -8.10 |  -7.40 |  -8.90 | -15.10 |   0.00 |   1.30 | -22.90 | -20.50 | -33.10 | -15.40 |   3.90 |  -7.00 |   6.10 |  -0.10 | -10.60 | -12.70 | -24.50 |   0.00 |  -5.90 | -23.30 | -16.70 |   0.00 |   0.00 |   0.00 |   0.00 |  -4.70 |   0.00 |   0.00 |   0.00 |   2.40 |   1.00 |  26.70 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   3.15 |  -3.90 |   0.41 | -11.46 |   3.31 |  -2.85 |  -2.56 |  -6.74 | -10.08 | -10.85 |  -1.97 |  -6.28 |  -5.13 |   0.00 |   3.05 |  -7.00 |  -9.23 |  -6.26 |  -5.90 |   0.00 |  -4.21 |  -2.59 |   0.64 |  -0.87 |  -4.31 |  -7.31 |   0.00 |  -1.51 |  -8.82 |  -7.59 |   1.00 |   0.00 |  -0.36 |   0.00 |  -1.59 |   0.00 |   0.00 |   0.00 |   0.26 |   0.00 |  12.08 |
 y32 |   0.46 |  -6.36 |   6.56 |  -1.38 |   5.92 |  -5.54 |   5.97 |   0.10 |  -1.23 |  -5.54 |  -8.59 |   2.49 |   0.95 |   0.00 |   6.82 | -11.00 |   8.31 |   3.90 | -10.36 |   0.00 |  -0.28 |  -1.44 |  -6.74 |   9.05 | -12.92 |  -6.92 |   0.00 |  -8.21 |  -6.13 |  -1.44 |   0.00 |   1.00 |  -1.74 |   0.00 |  -0.44 |   0.00 |   0.00 |   0.00 |   1.10 |   0.00 |  11.23 |
 y20 |   0.46 |  -0.36 |  -1.44 |  -2.38 |  -1.08 |   0.46 |  -2.03 |  -1.90 |  -2.23 |  -0.54 |   0.41 |  -1.51 |  -1.05 |   0.00 |  -0.18 |  -1.00 |  -2.69 |  -3.10 |  -0.36 |   1.00 |  -1.28 |   1.56 |   1.26 |  -1.95 |   0.08 |  -1.92 |   0.00 |   0.79 |  -2.13 |  -0.44 |   0.00 |   0.00 |   0.26 |   0.00 |  -0.44 |   0.00 |   0.00 |   0.00 |   0.10 |   0.00 |   2.23 |
 y34 |  -2.92 |  -6.28 |   7.87 | -14.23 |   3.15 |  -2.92 |  -6.95 |  -9.21 |  -6.54 |  -4.92 | -12.82 |   4.03 | -11.90 |   0.00 |   4.36 | -19.00 |  -8.62 | -11.79 | -16.28 |   0.00 |  -4.44 |   4.87 |  -1.51 |  -1.10 | -15.15 | -18.15 |   0.00 |  -4.59 |  -9.74 |  -9.13 |   0.00 |   0.00 |  -1.51 |   1.00 |  -2.13 |   0.00 |   0.00 |   0.00 |   1.79 |   0.00 |   1.54 |
 y27 |   0.15 |   2.44 |   0.74 |   4.54 |   1.31 |   1.15 |   3.10 |   3.59 |   3.92 |   2.15 |   2.36 |   2.05 |   3.21 |   0.00 |  -0.28 |   4.00 |   3.77 |   5.41 |   3.44 |   0.00 |   2.13 |  -1.26 |  -0.03 |   2.79 |   2.69 |   4.69 |   1.00 |   0.82 |   4.51 |   2.74 |   0.00 |   0.00 |  -0.03 |   0.00 |   0.74 |   0.00 |   0.00 |   0.00 |  -0.41 |   0.00 |   2.08 |
 y36 |   4.31 |   0.21 |  -3.18 | -14.92 |  -1.38 |   3.31 |  -4.13 |  -5.49 | -12.15 |  -0.69 |   1.05 |  -0.56 |  -7.26 |   0.00 |   1.10 |  -9.00 | -12.46 | -12.51 |  -7.79 |   0.00 |  -6.41 |   2.82 |   2.28 |  -3.74 |   0.38 |  -6.62 |   0.00 |   3.97 |  -8.64 |  -3.18 |   0.00 |   0.00 |   0.28 |   0.00 |  -2.18 |   1.00 |   0.00 |   0.00 |   0.51 |   0.00 |  16.15 |
 y37 |   5.92 |   2.28 |  -1.87 |  -5.77 |   1.85 |  -4.08 |  -3.05 |  -3.79 |   2.54 |  -6.08 |  -4.18 |   4.97 |  -4.10 |   0.00 |   5.64 |  -6.00 |  -2.38 |  -7.21 |  -5.72 |   0.00 |  -3.56 |   1.13 |  -4.49 |   3.10 |   0.15 |  -4.85 |   0.00 |  -2.41 |  -7.26 |  -5.87 |   0.00 |   0.00 |  -0.49 |   0.00 |  -0.87 |   0.00 |   1.00 |   0.00 |   0.21 |   0.00 |  11.46 |
 y38 |   5.00 |  -6.00 |  10.00 |  -6.00 |   7.00 |   2.00 |   3.00 |   0.00 |  -5.00 |  -3.00 |  -2.00 |   2.00 |  -5.00 |   0.00 |   9.00 | -10.00 |   0.00 |  -1.00 |  -3.00 |   0.00 |   4.00 |   2.00 |  -1.00 |   3.00 |  -4.00 |  -4.00 |   0.00 |  -1.00 |  -2.00 |  -6.00 |   0.00 |   0.00 |  -1.00 |   0.00 |  -1.00 |   0.00 |   0.00 |   1.00 |   1.00 |   0.00 |   1.00 |
 y14 |   0.08 |   0.05 |   2.21 |   1.77 |   1.15 |   0.08 |   1.72 |   1.13 |   1.46 |   1.08 |  -0.49 |   1.36 |   0.44 |   1.00 |   1.03 |   1.00 |   2.38 |   1.87 |   0.05 |   0.00 |   1.90 |   0.21 |  -0.18 |   1.56 |  -0.15 |   0.85 |   0.00 |  -0.26 |   1.59 |   0.21 |   0.00 |   0.00 |  -0.18 |   0.00 |   0.21 |   0.00 |   0.00 |   0.00 |   0.13 |   0.00 |   1.54 |
 y40 |   0.00 |  -6.00 |   7.00 | -18.00 |   3.00 |  -2.00 |  -6.00 | -10.00 | -16.00 |  -6.00 |  -9.00 |  -3.00 | -11.00 |   0.00 |   2.00 | -19.00 | -10.00 | -21.00 | -14.00 |   0.00 |  -2.00 |   0.00 |  -5.00 |  -3.00 | -13.00 | -17.00 |   0.00 |  -9.00 | -15.00 | -15.00 |   0.00 |   0.00 |  -1.00 |   0.00 |  -3.00 |   0.00 |   0.00 |   0.00 |   2.00 |   1.00 |  18.00 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |  -7.00 |   2.00 |   3.00 |   3.00 |   4.00 |   5.00 |   7.00 |   9.00 |   9.00 |   9.00 |   5.00 |   5.00 |   3.00 |   9.00 |   3.00 |   4.00 |   9.00 |   8.00 |   5.00 |   5.00 |   3.00 |   9.00 |   1.00 |   2.00 |   8.00 |   5.00 |   9.00 |   1.00 |   3.00 |   2.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  35.00 |
 y32 |  -1.00 |   2.00 |   5.00 |   1.00 |   3.00 |   7.00 |   4.00 |   9.00 |   9.00 |   3.00 |   2.00 |   7.00 |   4.00 |   3.00 |   4.00 |   8.00 |   7.00 |   4.00 |   7.00 |   6.00 |   9.00 |   7.00 |   3.00 |   3.00 |   5.00 |   5.00 |   5.00 |   7.00 |   2.00 |   5.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  16.00 |
 y33 |  -9.00 |   3.00 |   7.00 |   4.00 |   4.00 |   3.00 |   5.00 |   5.00 |   5.00 |   4.00 |   4.00 |   5.00 |   6.00 |   7.00 |   3.00 |   5.00 |   6.00 |   6.00 |   8.00 |   8.00 |   3.00 |   6.00 |   9.00 |   9.00 |   9.00 |   6.00 |   2.00 |   6.00 |   3.00 |   1.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  11.00 |
 y34 |  -5.00 |   7.00 |   8.00 |   1.00 |   9.00 |   1.00 |   4.00 |   8.00 |   8.00 |   9.00 |   9.00 |   9.00 |   4.00 |   1.00 |   2.00 |   3.00 |   1.00 |   6.00 |   3.00 |   5.00 |   7.00 |   7.00 |   6.00 |   8.00 |   5.00 |   9.00 |   4.00 |   9.00 |   4.00 |   1.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  37.00 |
 y35 |  -5.00 |   9.00 |   9.00 |   3.00 |   2.00 |   9.00 |   1.00 |   6.00 |   3.00 |   7.00 |   9.00 |   9.00 |   7.00 |   7.00 |   2.00 |   5.00 |   3.00 |   7.00 |   6.00 |   4.00 |   9.00 |   9.00 |   9.00 |   8.00 |   5.00 |   4.00 |   1.00 |   1.00 |   2.00 |   7.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  34.00 |
 y36 |  -8.00 |   7.00 |   2.00 |   2.00 |   7.00 |   4.00 |   2.00 |   1.00 |   4.00 |   2.00 |   2.00 |   1.00 |   2.00 |   4.00 |   8.00 |   2.00 |   7.00 |   6.00 |   4.00 |   1.00 |   2.00 |   6.00 |   5.00 |   4.00 |   2.00 |   5.00 |   6.00 |   9.00 |   3.00 |   7.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |  17.00 |
 y37 |  -1.00 |   4.00 |   3.00 |   1.00 |   9.00 |   6.00 |   5.00 |   4.00 |   2.00 |   5.00 |   8.00 |   5.00 |   3.00 |   1.00 |   6.00 |   7.00 |   1.00 |   5.00 |   1.00 |   8.00 |   5.00 |   7.00 |   8.00 |   5.00 |   7.00 |   7.00 |   3.00 |   2.00 |   9.00 |   7.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |  48.00 |
 y38 |  -7.00 |   4.00 |   2.00 |   6.00 |   4.00 |   2.00 |   8.00 |   6.00 |   4.00 |   7.00 |   4.00 |   4.00 |   4.00 |   3.00 |   8.00 |   2.00 |   5.00 |   5.00 |   7.00 |   1.00 |   7.00 |   4.00 |   3.00 |   3.00 |   7.00 |   5.00 |   3.00 |   2.00 |   5.00 |   5.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |  41.00 |
 y39 |  -3.00 |   9.00 |   5.00 |   3.00 |   1.00 |   7.00 |   9.00 |   3.00 |   6.00 |   3.00 |   7.00 |   4.00 |   6.00 |   3.00 |   8.00 |   3.00 |   3.00 |   3.00 |   1.00 |   5.00 |   4.00 |   7.00 |   6.00 |   4.00 |   7.00 |   4.00 |   8.00 |   9.00 |   7.00 |   5.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |  19.00 |
 y40 |  -1.00 |   1.00 |   5.00 |   7.00 |   7.00 |   6.00 |   2.00 |   3.00 |   4.00 |   7.00 |   7.00 |   9.00 |   8.00 |   6.00 |   3.00 |   6.00 |   1.00 |   1.00 |   2.00 |   1.00 |   5.00 |   8.00 |   9.00 |   9.00 |   9.00 |   9.00 |   2.00 |   1.00 |   5.00 |   8.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |  33.00 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |  -2.50 |   0.50 |  -0.50 |   1.00 |   2.00 |   3.50 |   4.50 |   6.50 |   6.50 |   7.00 |   3.00 |   2.50 |   0.00 |   5.50 |   1.50 |   1.50 |   6.00 |   5.00 |   1.00 |   1.00 |   1.50 |   6.00 |  -3.50 |  -2.50 |   3.50 |   2.00 |   8.00 |  -2.00 |   1.50 |   1.50 |   1.00 |   0.00 |  -0.50 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  29.50 |
 y32 |   5.00 |   0.00 |   0.33 |  -1.67 |   0.33 |   5.00 |   0.67 |   5.67 |   5.67 |   0.33 |  -0.67 |   3.67 |   0.00 |  -1.67 |   2.00 |   4.67 |   3.00 |   0.00 |   1.67 |   0.67 |   7.00 |   3.00 |  -3.00 |  -3.00 |  -1.00 |   1.00 |   3.67 |   3.00 |   0.00 |   4.33 |   0.00 |   1.00 |  -0.67 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   8.67 |
 y13 |  -1.50 |   0.50 |   1.17 |   0.67 |   0.67 |   0.50 |   0.83 |   0.83 |   0.83 |   0.67 |   0.67 |   0.83 |   1.00 |   1.17 |   0.50 |   0.83 |   1.00 |   1.00 |   1.33 |   1.33 |   0.50 |   1.00 |   1.50 |   1.50 |   1.50 |   1.00 |   0.33 |   1.00 |   0.50 |   0.17 |   0.00 |   0.00 |   0.17 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.83 |
 y34 |   1.00 |   5.00 |   3.33 |  -1.67 |   6.33 |  -1.00 |   0.67 |   4.67 |   4.67 |   6.33 |   6.33 |   5.67 |   0.00 |  -3.67 |   0.00 |  -0.33 |  -3.00 |   2.00 |  -2.33 |  -0.33 |   5.00 |   3.00 |   0.00 |   2.00 |  -1.00 |   5.00 |   2.67 |   5.00 |   2.00 |   0.33 |   0.00 |   0.00 |  -0.67 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  29.67 |
 y35 |   5.50 |   5.50 |   0.83 |  -1.67 |  -2.67 |   5.50 |  -4.83 |   0.17 |  -2.83 |   2.33 |   4.33 |   3.17 |   0.00 |  -1.17 |  -1.50 |  -0.83 |  -4.00 |   0.00 |  -3.33 |  -5.33 |   5.50 |   2.00 |  -1.50 |  -2.50 |  -5.50 |  -3.00 |  -1.33 |  -6.00 |  -1.50 |   5.83 |   0.00 |   0.00 |  -1.17 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  21.17 |
 y36 |  -5.00 |   6.00 |  -0.33 |   0.67 |   5.67 |   3.00 |   0.33 |  -0.67 |   2.33 |   0.67 |   0.67 |  -0.67 |   0.00 |   1.67 |   7.00 |   0.33 |   5.00 |   4.00 |   1.33 |  -1.67 |   1.00 |   4.00 |   2.00 |   1.00 |  -1.00 |   3.00 |   5.33 |   7.00 |   2.00 |   6.67 |   0.00 |   0.00 |  -0.33 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |  13.33 |
 y37 |   3.50 |   2.50 |  -0.50 |  -1.00 |   7.00 |   4.50 |   2.50 |   1.50 |  -0.50 |   3.00 |   6.00 |   2.50 |   0.00 |  -2.50 |   4.50 |   4.50 |  -2.00 |   2.00 |  -3.00 |   4.00 |   3.50 |   4.00 |   3.50 |   0.50 |   2.50 |   4.00 |   2.00 |  -1.00 |   7.50 |   6.50 |   0.00 |   0.00 |  -0.50 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |  42.50 |
 y38 |  -1.00 |   2.00 |  -2.67 |   3.33 |   1.33 |   0.00 |   4.67 |   2.67 |   0.67 |   4.33 |   1.33 |   0.67 |   0.00 |  -1.67 |   6.00 |  -1.33 |   1.00 |   1.00 |   1.67 |  -4.33 |   5.00 |   0.00 |  -3.00 |  -3.00 |   1.00 |   1.00 |   1.67 |  -2.00 |   3.00 |   4.33 |   0.00 |   0.00 |  -0.67 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |  33.67 |
 y39 |   6.00 |   6.00 |  -2.00 |  -1.00 |  -3.00 |   4.00 |   4.00 |  -2.00 |   1.00 |  -1.00 |   3.00 |  -1.00 |   0.00 |  -4.00 |   5.00 |  -2.00 |  -3.00 |  -3.00 |  -7.00 |  -3.00 |   1.00 |   1.00 |  -3.00 |  -5.00 |  -2.00 |  -2.00 |   6.00 |   3.00 |   4.00 |   4.00 |   0.00 |   0.00 |  -1.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |   8.00 |
 y40 |  11.00 |  -3.00 |  -4.33 |   1.67 |   1.67 |   2.00 |  -4.67 |  -3.67 |  -2.67 |   1.67 |   1.67 |   2.33 |   0.00 |  -3.33 |  -1.00 |  -0.67 |  -7.00 |  -7.00 |  -8.67 |  -9.67 |   1.00 |   0.00 |  -3.00 |  -3.00 |  -3.00 |   1.00 |  -0.67 |  -7.00 |   1.00 |   6.67 |   0.00 |   0.00 |  -1.33 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |  18.33 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   0.00 |   3.00 |  -1.33 |   0.58 |   0.75 |   5.17 |   6.17 |   5.67 |   6.92 |   6.58 |   4.25 |   2.08 |   0.00 |   3.83 |   3.58 |   0.67 |   4.75 |   3.75 |  -1.92 |  -0.25 |   1.92 |   6.42 |  -4.75 |  -4.58 |   2.67 |   1.17 |  10.50 |  -0.75 |   3.17 |   3.17 |   1.00 |   0.00 |  -0.92 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.42 |   0.00 |  32.83 |
 y32 |   0.00 |  -5.00 |   2.00 |  -0.83 |   2.83 |   1.67 |  -2.67 |   7.33 |   4.83 |   1.17 |  -3.17 |   4.50 |   0.00 |   1.67 |  -2.17 |   6.33 |   5.50 |   2.50 |   7.50 |   3.17 |   6.17 |   2.17 |  -0.50 |   1.17 |   0.67 |   2.67 |  -1.33 |   0.50 |  -3.33 |   1.00 |   0.00 |   1.00 |   0.17 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.83 |   0.00 |   2.00 |
 y13 |   0.00 |   2.00 |   0.67 |   0.42 |  -0.08 |   1.50 |   1.83 |   0.33 |   1.08 |   0.42 |   1.42 |   0.58 |   1.00 |   0.17 |   1.75 |   0.33 |   0.25 |   0.25 |  -0.42 |   0.58 |   0.75 |   1.25 |   0.75 |   0.25 |   1.00 |   0.50 |   1.83 |   1.75 |   1.50 |   1.17 |   0.00 |   0.00 |  -0.08 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.25 |   0.00 |   3.83 |
 y34 |   0.00 |   4.00 |   3.67 |  -1.50 |   6.83 |  -1.67 |  -0.00 |   5.00 |   4.50 |   6.50 |   5.83 |   5.83 |   0.00 |  -3.00 |  -0.83 |  -0.00 |  -2.50 |   2.50 |  -1.17 |   0.17 |   4.83 |   2.83 |   0.50 |   2.83 |  -0.67 |   5.33 |   1.67 |   4.50 |   1.33 |  -0.33 |   0.00 |   0.00 |  -0.50 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.17 |   0.00 |  28.33 |
 y35 |   0.00 |   0.00 |   2.67 |  -0.75 |   0.08 |   1.83 |  -8.50 |   2.00 |  -3.75 |   3.25 |   1.58 |   4.08 |   0.00 |   2.50 |  -6.08 |   1.00 |  -1.25 |   2.75 |   3.08 |  -2.58 |   4.58 |   1.08 |   1.25 |   2.08 |  -3.67 |  -1.17 |  -6.83 |  -8.75 |  -5.17 |   2.17 |   0.00 |   0.00 |  -0.25 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |  -0.92 |   0.00 |  13.83 |
 y36 |   0.00 |  11.00 |  -2.00 |  -0.17 |   3.17 |   6.33 |   3.67 |  -2.33 |   3.17 |  -0.17 |   3.17 |  -1.50 |   0.00 |  -1.67 |  11.17 |  -1.33 |   2.50 |   1.50 |  -4.50 |  -4.17 |   1.83 |   4.83 |  -0.50 |  -3.17 |  -2.67 |   1.33 |  10.33 |   9.50 |   5.33 |  10.00 |   0.00 |   0.00 |  -1.17 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.83 |   0.00 |  20.00 |
 y37 |   0.00 |  -1.00 |   0.67 |  -0.42 |   8.75 |   2.17 |   0.17 |   2.67 |  -1.08 |   3.58 |   4.25 |   3.08 |   0.00 |  -0.17 |   1.58 |   5.67 |  -0.25 |   3.75 |   1.08 |   5.75 |   2.92 |   3.42 |   5.25 |   3.42 |   3.67 |   5.17 |  -1.50 |  -2.75 |   5.17 |   4.17 |   0.00 |   0.00 |   0.08 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |  -0.58 |   0.00 |  37.83 |
 y38 |   0.00 |   3.00 |  -3.00 |   3.17 |   0.83 |   0.67 |   5.33 |   2.33 |   0.83 |   4.17 |   1.83 |   0.50 |   0.00 |  -2.33 |   6.83 |  -1.67 |   0.50 |   0.50 |   0.50 |  -4.83 |   5.17 |   0.17 |  -3.50 |  -3.83 |   0.67 |   0.67 |   2.67 |  -1.50 |   3.67 |   5.00 |   0.00 |   0.00 |  -0.83 |   0.00 |   0.00 |   0.00 |   0.00 |   1.00 |   0.17 |   0.00 |  35.00 |
  y1 |   1.00 |   1.00 |  -0.33 |  -0.17 |  -0.50 |   0.67 |   0.67 |  -0.33 |   0.17 |  -0.17 |   0.50 |  -0.17 |   0.00 |  -0.67 |   0.83 |  -0.33 |  -0.50 |  -0.50 |  -1.17 |  -0.50 |   0.17 |   0.17 |  -0.50 |  -0.83 |  -0.33 |  -0.33 |   1.00 |   0.50 |   0.67 |   0.67 |   0.00 |   0.00 |  -0.17 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.17 |   0.00 |   1.33 |
 y40 |   0.00 | -14.00 |  -0.67 |   3.50 |   7.17 |  -5.33 | -12.00 |  -0.00 |  -4.50 |   3.50 |  -3.83 |   4.17 |   0.00 |   4.00 | -10.17 |   3.00 |  -1.50 |  -1.50 |   4.17 |  -4.17 |  -0.83 |  -1.83 |   2.50 |   6.17 |   0.67 |   4.67 | -11.67 | -12.50 |  -6.33 |  -0.67 |   0.00 |   0.00 |   0.50 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -1.83 |   1.00 |   3.67 |
     |   y1   |   y2   |   y3   |   y4   |   y5   |   y6   |   y7   |   y8   |   y9   |   y10  |   y11  |   y12  |   y13  |   y14  |   y15  |   y16  |   y17  |   y18  |   y19  |   y20  |   y21  |   y22  |   y23  |   y24  |   y25  |   y26  |   y27  |   y28  |   y29  |   y30  |   y31  |   y32  |   y33  |   y34  |   y35  |   y36  |   y37  |   y38  |   y39  |   y40  |    b   |
 y31 |   0.00 |   1.72 |  -0.82 |   0.37 |   1.47 |   5.59 |   5.49 |   7.54 |   8.15 |   6.88 |   3.44 |   3.23 |   0.00 |   4.26 |   3.03 |   2.29 |   6.16 |   4.39 |   0.00 |   0.56 |   3.49 |   6.97 |  -4.88 |  -4.29 |   2.84 |   1.85 |  10.16 |  -0.62 |   2.31 |   3.42 |   1.00 |   0.26 |  -0.87 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.20 |   0.00 |  33.34 |
 y19 |   0.00 |  -0.67 |   0.27 |  -0.11 |   0.38 |   0.22 |  -0.36 |   0.98 |   0.64 |   0.16 |  -0.42 |   0.60 |   0.00 |   0.22 |  -0.29 |   0.84 |   0.73 |   0.33 |   1.00 |   0.42 |   0.82 |   0.29 |  -0.07 |   0.16 |   0.09 |   0.36 |  -0.18 |   0.07 |  -0.44 |   0.13 |   0.00 |   0.13 |   0.02 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.11 |   0.00 |   0.27 |
 y13 |   0.00 |   1.72 |   0.78 |   0.37 |   0.07 |   1.59 |   1.69 |   0.74 |   1.35 |   0.48 |   1.24 |   0.83 |   1.00 |   0.26 |   1.63 |   0.69 |   0.56 |   0.39 |   0.00 |   0.76 |   1.09 |   1.37 |   0.72 |   0.31 |   1.04 |   0.65 |   1.76 |   1.78 |   1.31 |   1.22 |   0.00 |   0.06 |  -0.07 |   0.00 |   0.00 |   0.00 |   0.00 |   0.00 |   0.20 |   0.00 |   3.94 |
 y34 |   0.00 |   3.22 |   3.98 |  -1.63 |   7.27 |  -1.41 |  -0.41 |   6.14 |   5.25 |   6.68 |   5.34 |   6.53 |   0.00 |  -2.74 |  -1.17 |   0.99 |  -1.64 |   2.89 |   0.00 |   0.66 |   5.79 |   3.17 |   0.42 |   3.01 |  -0.56 |   5.75 |   1.46 |   4.58 |   0.81 |  -0.18 |   0.00 |   0.16 |  -0.47 |   1.00 |   0.00 |   0.00 |   0.00 |   0.00 |  -0.30 |   0.00 |  28.64 |
 y35 |   0.00 |   2.06 |   1.84 |  -0.41 |  -1.08 |   1.15 |  -7.40 |  -1.01 |  -5.74 |   2.77 |   2.89 |   2.23 |   0.00 |   1.81 |  -5.19 |  -1.60 |  -3.51 |   1.72 |   0.00 |  -3.89 |   2.05 |   0.19 |   1.46 |   1.60 |  -3.94 |  -2.26 |  -6.29 |  -8.96 |  -3.80 |   1.76 |   0.00 |  -0.41 |  -0.32 |   0.00 |   1.00 |   0.00 |   0.00 |   0.00 |  -0.57 |   0.00 |  13.01 |
 y36 |   0.00 |   8.00 |  -0.80 |  -0.67 |   4.87 |   7.33 |   2.07 |   2.07 |   6.07 |   0.53 |   1.27 |   1.20 |   0.00 |  -0.67 |   9.87 |   2.47 |   5.80 |   3.00 |   0.00 |  -2.27 |   5.53 |   6.13 |  -0.80 |  -2.47 |  -2.27 |   2.93 |   9.53 |   9.80 |   3.33 |  10.60 |   0.00 |   0.60 |  -1.07 |   0.00 |   0.00 |   1.00 |   0.00 |   0.00 |   0.33 |   0.00 |  21.20 |
 y37 |   0.00 |  -0.28 |   0.38 |  -0.30 |   8.34 |   1.93 |   0.55 |   1.61 |  -1.78 |   3.41 |   4.71 |   2.43 |   0.00 |  -0.41 |   1.90 |   4.75 |  -1.04 |   3.39 |   0.00 |   5.29 |   2.03 |   3.10 |   5.32 |   3.25 |   3.57 |   4.78 |  -1.31 |  -2.82 |   5.65 |   4.02 |   0.00 |  -0.14 |   0.06 |   0.00 |   0.00 |   0.00 |   1.00 |   0.00 |  -0.46 |   0.00 |  37.54 |
